t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,desc_leg,descent_bias,descent_gain,v_up_auth,v_down_auth,gate_v_ok,v_committed,floor_on,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,gate_cmd_deg,committed,commit_k,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,tube_solid,u_tube_f,curv_f,rail_k,rail_auth,rail_cmd_deg,v_converge,rail_sep,fit_rms,rail_rows,rail_ylook,rail_merged,rail_ok,rail_v_f,rail_v_tgt,rail_v_trim,rail_v_auth,rail_v_live,loop_hz,det_hz,encap_hex,post_gate_hold_active,hold_bank_cmd,gate2_size_frac,ag2_auth,gate2_exit_k,leg2_arrest,commit_latched,commit_align_count,gate3_flare_on,gate3_flare_thr,gate3_flare_uncl,gate3_desc_on,gate3_desc_raw,du_f,rate_ok,align_ok,commit_stable_s,g3hold_armed,g3hold_on,g3hold_elapsed,g3_last_vf,g3_last_sz,g3_loss_t,g3_delta_app,race_fin
0.014484,0,0,0.283661,0.283661,0.2800,+0.00366,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01600,-0.02288,0.08535,175.88,+0.01600,+0.01600,+0.00000,-0.02288,0.08535,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.802,+0.00000,+0.00,+0.00000,1,+0.00158,+0.00321,0.01316,+0.008,0,1,+0.00158,+0.00321,1.0000,0.0000,+0.000,-0.36293,0.44189,0.377,84,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,011c0e000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08535,1.0000,1.0000,0.00000,0,0,0,0.285,0.001,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.034479,0,0,0.283661,0.283661,0.2800,+0.00366,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01600,-0.02288,0.08535,175.88,+0.01600,+0.01600,+0.00000,-0.02288,0.08535,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.802,+0.00000,+0.00,+0.00000,1,+0.00158,+0.00321,0.01316,+0.008,0,1,+0.00158,+0.00321,1.0000,0.0000,+0.000,-0.36293,0.44189,0.377,84,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,011c0e000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08535,1.0000,1.0000,0.00000,0,0,0,0.285,0.001,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.050245,0,0,0.283661,0.283661,0.2800,+0.00366,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01600,-0.02288,0.08535,175.88,+0.01600,+0.01600,+0.00000,-0.02288,0.08535,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.802,+0.00000,+0.00,+0.00000,1,+0.00158,+0.00321,0.01316,+0.008,0,1,+0.00158,+0.00321,1.0000,0.0000,+0.000,-0.36293,0.44189,0.377,84,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,011c0e000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08535,1.0000,1.0000,0.00000,0,0,0,0.285,0.001,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.066842,0,0,0.283632,0.283632,0.2800,+0.00363,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01573,-0.02227,0.08498,175.99,+0.01598,+0.01599,+0.00000,-0.02283,0.08532,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.741,+0.00611,+0.00,+0.00000,1,+0.00128,+0.00366,0.01224,+0.011,0,1,+0.00156,+0.00324,1.0000,0.0000,+0.000,-0.36453,0.44166,0.351,84,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,011c0e000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08498,1.0000,1.0000,0.00000,0,0,0,0.285,0.001,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.080597,0,0,0.283610,0.283610,0.2800,+0.00361,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01573,-0.02227,0.08498,175.99,+0.01596,+0.01599,+0.00000,-0.02280,0.08530,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.662,-0.01021,+0.00,+0.00000,1,+0.00128,+0.00366,0.01224,+0.019,0,1,+0.00154,+0.00327,1.0000,0.0000,+0.000,-0.36453,0.44166,0.351,84,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,011c0e000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08498,1.0000,1.0000,0.00000,0,0,0,0.285,0.001,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.098488,0,0,0.283615,0.283615,0.2800,+0.00362,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01562,-0.02283,0.08535,175.89,+0.01593,+0.01599,+0.00000,-0.02280,0.08530,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.324,-0.00084,+0.00,+0.00000,1,+0.00120,+0.00324,0.01161,+0.017,0,1,+0.00151,+0.00327,1.0000,0.0000,+0.000,-0.36210,0.44215,0.345,80,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,011c0e000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08535,1.0000,1.0000,0.00000,0,0,0,0.285,0.001,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.115360,0,0,0.283620,0.283620,0.2800,+0.00362,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01562,-0.02283,0.08535,175.89,+0.01591,+0.01598,+0.00000,-0.02280,0.08530,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-16.947,-0.00019,+0.00,+0.00000,1,+0.00120,+0.00324,0.01161,+0.016,0,1,+0.00149,+0.00327,1.0000,0.0000,+0.000,-0.36210,0.44215,0.345,80,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,011c0e000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08535,1.0000,1.0000,0.00000,0,0,0,0.285,0.001,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.132125,0,0,0.283619,0.283619,0.2800,+0.00362,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01539,-0.02274,0.08535,175.91,+0.01587,+0.01597,+0.00000,-0.02280,0.08531,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-16.313,+0.00074,+0.00,+0.00000,1,+0.00133,+0.00288,0.01104,+0.017,0,1,+0.00148,+0.00324,1.0000,0.0000,+0.000,-0.35948,0.44292,0.391,81,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,011c0e000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08535,1.0000,1.0000,0.00000,0,0,0,0.285,0.001,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.146521,0,0,0.283618,0.283618,0.2800,+0.00362,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01539,-0.02274,0.08535,175.91,+0.01584,+0.01596,+0.00000,-0.02279,0.08531,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-15.846,+0.00166,+0.00,+0.00000,1,+0.00133,+0.00288,0.01104,+0.018,0,1,+0.00147,+0.00321,1.0000,0.0000,+0.000,-0.35948,0.44292,0.391,81,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,011c0e000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08535,1.0000,1.0000,0.00000,0,0,0,0.285,0.001,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.160945,0,0,0.283632,0.283632,0.2800,+0.00363,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01553,-0.02307,0.08553,175.85,+0.01582,+0.01595,+0.00000,-0.02281,0.08532,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-15.237,+0.00085,+0.00,+0.00000,1,+0.00160,+0.00338,0.01021,+0.018,0,1,+0.00148,+0.00322,1.0000,0.0000,+0.000,-0.35985,0.44616,0.352,73,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,011c0e000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08553,1.0000,1.0000,0.00000,0,0,0,0.285,0.001,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
