t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,v_f,sz_f,sig_k,live,far_rej,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.002767,0,0,0.278726,0.278726,0.2750,+0.00373,0,1,1,+0.01727,-0.02329,0.08221,175.81,+0.01727,-0.02329,0.08221,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.801,+0.00000,0.00,+0.00000,1,-0.01348,-0.01260,0.02197,-0.007,0,0.0,0.0
0.036664,0,0,0.278726,0.278726,0.2750,+0.00373,0,1,1,+0.01727,-0.02329,0.08221,175.81,+0.01727,-0.02329,0.08221,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.801,+0.00000,0.00,+0.00000,1,-0.01348,-0.01260,0.02197,-0.007,0,0.0,0.0
0.069789,0,0,0.278882,0.278882,0.2750,+0.00388,0,1,1,+0.01713,-0.02418,0.08370,175.65,+0.01725,-0.02341,0.08243,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.837,-0.01546,0.00,+0.00000,1,-0.03502,+0.00794,0.02461,+0.001,0,0.0,0.0
0.103517,0,0,0.279201,0.279201,0.2750,+0.00420,0,1,1,+0.01748,-0.02532,0.08352,175.44,+0.01728,-0.02369,0.08258,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.331,-0.00008,0.00,+0.00000,1,-0.16549,+0.13247,0.04261,-0.011,0,0.0,0.0
0.135108,0,0,0.279420,0.279420,0.2750,+0.00442,0,1,1,+0.01748,-0.02532,0.08352,175.44,+0.01731,-0.02391,0.08271,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-16.258,+0.00154,0.00,+0.00000,1,-0.16549,+0.13247,0.04261,-0.011,0,0.0,0.0
0.165143,0,0,0.280999,0.280999,0.2750,+0.00600,0,1,1,+0.02126,-0.03409,0.07698,173.86,+0.01782,-0.02524,0.08196,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-15.307,+0.00441,0.00,+0.00000,1,-0.00215,-0.00237,0.17340,-0.013,0,0.0,0.0
0.198328,0,0,0.282271,0.282271,0.2750,+0.00727,0,1,1,+0.02126,-0.03409,0.07698,173.86,+0.01831,-0.02650,0.08125,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-14.063,+0.00043,0.00,+0.00000,1,-0.00215,-0.00237,0.17340,-0.013,0,0.0,0.0
0.227310,0,0,0.282271,0.282271,0.2750,+0.00727,0,1,1,+0.01926,-0.09111,0.05122,163.60,+0.01831,-0.02650,0.08125,1.0000,0,1,0,0,+0.000,+0.000,+0.000,+0.00000,-12.934,+0.00048,0.00,+0.00000,1,-0.00234,+0.00069,0.17264,-0.013,0,0.0,0.0
0.257485,0,0,0.282271,0.282271,0.2750,+0.00727,0,1,1,+0.01926,-0.09111,0.05122,163.60,+0.01831,-0.02650,0.08125,1.0000,0,1,0,0,+0.000,+0.000,+0.000,+0.00000,-12.154,+0.00060,0.00,+0.00000,1,-0.00234,+0.00069,0.17264,-0.012,0,0.0,0.0
0.288200,0,0,0.282271,0.282271,0.2750,+0.00727,0,1,1,+0.01976,-0.08468,0.04779,164.76,+0.01831,-0.02650,0.08125,1.0000,0,1,0,0,+0.000,+0.000,+0.000,+0.00000,-11.292,+0.00045,0.00,+0.00000,1,-0.00541,+0.00471,0.15609,-0.012,0,0.0,0.0
