t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,desc_leg,descent_bias,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,tube_solid,rail_on,rail_auth,u_tube_f,curv_f,rail_k,rail_deg,gate_cmd_deg,gate_auth,committed,commit_k,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.016170,0,0,0.275599,0.275599,0.2750,+0.00060,0,0,0.0000,1,1,+0.02063,-0.00374,0.07837,179.33,+0.02063,+0.02063,+0.00000,-0.00374,0.07837,1.0000,1,0,1,0,0.0000,-0.01678,-0.00125,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.803,+0.00000,+0.00,+0.00000,1,-0.01678,-0.00125,0.01932,+0.018,0,0.0,0.0
0.050873,0,0,0.276194,0.276194,0.2750,+0.00119,0,0,0.0000,1,1,+0.02132,-0.00703,0.07935,178.74,+0.02074,+0.02065,+0.00000,-0.00423,0.07852,1.0000,1,0,1,0,0.0000,-0.01669,-0.00131,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.803,+0.00000,+0.00,+0.00000,1,-0.01612,-0.00163,0.01907,+0.018,0,0.0,0.0
0.081802,0,0,0.276879,0.276879,0.2750,+0.00188,0,0,0.0000,1,1,+0.02058,-0.00876,0.08012,178.42,+0.02072,+0.02066,+0.00000,-0.00483,0.07873,1.0000,1,0,1,0,0.0000,-0.01677,-0.00130,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.807,-0.00359,+0.00,+0.00000,1,-0.01732,-0.00124,0.01881,+0.008,0,0.0,0.0
0.109982,0,0,0.277345,0.277345,0.2750,+0.00234,0,0,0.0000,1,1,+0.01947,-0.00872,0.08032,178.43,+0.02056,+0.02065,+0.00000,-0.00531,0.07893,1.0000,1,0,1,0,0.0000,-0.01658,-0.00121,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.628,-0.00138,+0.00,+0.00000,1,-0.01523,-0.00055,0.01859,+0.008,0,0.0,0.0
0.140661,0,0,0.277709,0.277709,0.2750,+0.00271,0,0,0.0000,1,1,+0.01947,-0.00872,0.08032,178.43,+0.02042,+0.02062,+0.00000,-0.00577,0.07911,1.0000,1,0,1,0,0.0000,-0.01640,-0.00112,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-16.734,-0.00108,+0.00,+0.00000,1,-0.01523,-0.00055,0.01859,+0.006,0,0.0,0.0
0.168994,0,0,0.278114,0.278114,0.2750,+0.00311,0,0,0.0000,1,1,+0.01982,-0.00979,0.08051,178.24,+0.02034,+0.02058,+0.00000,-0.00627,0.07928,1.0000,1,0,1,0,0.0000,-0.01649,-0.00103,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-15.875,+0.00272,+0.00,+0.00000,1,-0.01711,-0.00042,0.01851,+0.008,0,0.0,0.0
0.202066,0,0,0.278607,0.278607,0.2750,+0.00361,0,0,0.0000,1,1,+0.02016,-0.01080,0.08108,178.06,+0.02032,+0.02054,+0.00000,-0.00691,0.07954,1.0000,1,0,1,0,0.0000,-0.01660,-0.00104,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-14.616,+0.00175,+0.00,+0.00000,1,-0.01725,-0.00106,0.01830,+0.009,0,0.0,0.0
0.228484,0,0,0.278858,0.278858,0.2750,+0.00386,0,0,0.0000,1,1,+0.02114,-0.01059,0.08127,178.09,+0.02041,+0.02053,+0.00000,-0.00734,0.07974,1.0000,1,0,1,0,0.0000,-0.01700,-0.00070,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-13.768,+0.00021,+0.00,+0.00000,1,-0.02001,+0.00182,0.01827,+0.008,0,0.0,0.0
0.256917,0,0,0.279272,0.279272,0.2750,+0.00427,0,0,0.0000,1,1,+0.02143,-0.01213,0.08221,177.82,+0.02054,+0.02053,+0.00000,-0.00793,0.08005,1.0000,1,0,1,0,0.0000,-0.01667,-0.00134,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-12.969,+0.00062,+0.00,+0.00000,1,-0.01442,-0.00579,0.01809,+0.008,0,0.0,0.0
0.281814,0,0,0.279764,0.279764,0.2750,+0.00476,0,0,0.0000,1,1,+0.02277,-0.01379,0.08315,177.52,+0.02079,+0.02056,+0.00000,-0.00858,0.08039,1.0000,1,0,1,0,0.0000,-0.01592,-0.00233,1.0000,+0.000,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-12.191,+0.00059,+0.00,+0.00000,1,-0.00990,-0.01029,0.01788,+0.008,0,0.0,0.0
