t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,desc_leg,descent_bias,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,tube_solid,u_tube_f,curv_f,rail_k,gate_cmd_deg,committed,commit_k,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.007611,0,0,0.273209,0.273209,0.2750,-0.00179,0,0,0.0000,1,1,+0.01458,+0.01119,0.06455,182.01,+0.01458,+0.01458,+0.00000,+0.01119,0.06455,1.0000,1,0,1,-0.01370,+0.01108,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.800,+0.00000,+0.00,+0.00000,1,-0.01370,+0.01108,0.08230,+0.016,0,0.0,0.0
0.043009,0,0,0.275477,0.275477,0.2750,+0.00048,0,0,0.0000,1,1,+0.01476,-0.00115,0.06917,179.79,+0.01461,+0.01459,+0.00000,+0.00934,0.06524,1.0000,1,0,1,-0.01391,+0.01101,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.800,+0.00000,+0.00,+0.00000,1,-0.01509,+0.01061,0.06305,+0.016,0,0.0,0.0
0.074310,0,0,0.277772,0.277772,0.2750,+0.00277,0,0,0.0000,1,1,+0.01742,-0.00592,0.07222,178.93,+0.01499,+0.01464,+0.00000,+0.00727,0.06619,1.0000,1,0,1,-0.01817,+0.01490,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.818,-0.00859,+0.00,+0.00000,1,-0.04542,+0.03971,0.04692,+0.006,0,0.0,0.0
0.103165,0,0,0.279587,0.279587,0.2750,+0.00459,0,0,0.0000,1,1,+0.01860,-0.00736,0.07286,178.67,+0.01545,+0.01474,+0.00000,+0.00543,0.06703,1.0000,1,0,1,-0.01995,+0.01611,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.350,-0.00271,+0.00,+0.00000,1,-0.03231,+0.02450,0.03891,+0.008,0,0.0,0.0
0.128685,0,0,0.280736,0.280736,0.2750,+0.00574,0,0,0.0000,1,1,+0.01864,-0.00688,0.07370,178.76,+0.01581,+0.01486,+0.00000,+0.00403,0.06778,1.0000,1,0,1,-0.02012,+0.01564,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-16.664,+0.00005,+0.00,+0.00000,1,-0.02139,+0.01199,0.03552,+0.010,0,0.0,0.0
0.159005,0,0,0.281631,0.281631,0.2750,+0.00663,0,0,0.0000,1,1,+0.01906,-0.00654,0.07454,178.82,+0.01624,+0.01504,+0.00000,+0.00264,0.06867,1.0000,1,0,1,-0.02033,+0.01499,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-15.772,+0.00596,+0.00,+0.00000,1,-0.02171,+0.01071,0.03286,+0.010,0,0.0,0.0
0.187528,0,0,0.282487,0.282487,0.2750,+0.00749,0,0,0.0000,1,1,+0.01943,-0.00845,0.07536,178.48,+0.01663,+0.01524,+0.00000,+0.00126,0.06951,1.0000,1,0,1,-0.02026,+0.01389,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-14.477,+0.00071,+0.00,+0.00000,1,-0.01983,+0.00612,0.02987,+0.010,0,0.0,0.0
0.216062,0,0,0.283048,0.283048,0.2750,+0.00805,0,0,0.0000,1,1,+0.01943,-0.00845,0.07536,178.48,+0.01698,+0.01546,+0.00000,+0.00004,0.07024,1.0000,1,0,1,-0.02021,+0.01292,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-13.609,+0.00027,+0.00,+0.00000,1,-0.01983,+0.00612,0.02987,+0.010,0,0.0,0.0
0.248559,0,0,0.284860,0.284860,0.2750,+0.00986,0,0,0.0000,1,1,+0.02060,-0.01697,0.07837,176.94,+0.01749,+0.01574,+0.00000,-0.00233,0.07138,1.0000,1,0,1,-0.01895,+0.00986,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-12.508,+0.00090,+0.00,+0.00000,1,-0.01122,-0.00891,0.02762,+0.009,0,0.0,0.0
0.277394,0,0,0.285975,0.285975,0.2750,+0.01098,0,0,0.0000,1,1,+0.02060,-0.01697,0.07837,176.94,+0.01788,+0.01601,+0.00000,-0.00418,0.07226,1.0000,1,0,1,-0.01798,+0.00750,1.0000,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-11.670,+0.00075,+0.00,+0.00000,1,-0.01122,-0.00891,0.02762,+0.009,0,0.0,0.0
