t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,v_f,sz_f,sig_k,live,far_rej,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.003199,0,0,0.277278,0.277278,0.2750,+0.00228,0,1,1,+0.02218,-0.01424,0.08315,177.44,+0.02218,-0.01424,0.08315,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.802,+0.00000,0.00,+0.00000,1,-0.01711,-0.00200,0.01808,+0.014,0,0.0,0.0
0.039218,0,0,0.277441,0.277441,0.2750,+0.00244,0,1,1,+0.02156,-0.01511,0.08333,177.28,+0.02209,-0.01437,0.08318,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.802,+0.00000,0.00,+0.00000,1,-0.01425,-0.00518,0.01803,+0.014,0,0.0,0.0
0.071448,0,0,0.277576,0.277576,0.2750,+0.00258,0,1,1,+0.02073,-0.01527,0.08370,177.25,+0.02190,-0.01449,0.08325,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.771,-0.00686,0.00,+0.00000,1,-0.01853,-0.00070,0.01791,+0.022,0,0.0,0.0
0.101109,0,0,0.277517,0.277517,0.2750,+0.00252,0,1,1,+0.02109,-0.01434,0.08315,177.42,+0.02179,-0.01447,0.08324,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.293,-0.00198,0.00,+0.00000,1,-0.01954,-0.00113,0.01771,+0.008,0,0.0,0.0
0.130596,0,0,0.277469,0.277469,0.2750,+0.00247,0,1,1,+0.02109,-0.01434,0.08315,177.42,+0.02170,-0.01446,0.08322,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-16.182,+0.00001,0.00,+0.00000,1,-0.01954,-0.00113,0.01771,+0.009,0,0.0,0.0
0.159609,0,0,0.277691,0.277691,0.2750,+0.00269,0,1,1,+0.02048,-0.01598,0.08389,177.12,+0.02155,-0.01465,0.08331,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-15.076,+0.00575,0.00,+0.00000,1,-0.01975,-0.00108,0.01768,+0.009,0,0.0,0.0
0.186400,0,0,0.278030,0.278030,0.2750,+0.00303,0,1,1,+0.02069,-0.01719,0.08462,176.91,+0.02145,-0.01495,0.08346,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-14.156,+0.00145,0.00,+0.00000,1,-0.02095,+0.00073,0.01766,+0.009,0,0.0,0.0
0.216673,0,0,0.278512,0.278512,0.2750,+0.00351,0,1,1,+0.02119,-0.01841,0.08535,176.69,+0.02141,-0.01541,0.08371,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-13.366,+0.00081,0.00,+0.00000,1,-0.01894,-0.00558,0.01816,+0.009,0,0.0,0.0
0.247189,0,0,0.279022,0.279022,0.2750,+0.00402,0,1,1,+0.02152,-0.01934,0.08589,176.52,+0.02143,-0.01593,0.08400,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-12.604,+0.00108,0.00,+0.00000,1,-0.02643,+0.00094,0.01921,+0.009,0,0.0,0.0
0.275537,0,0,0.279341,0.279341,0.2750,+0.00434,0,1,1,+0.02191,-0.01915,0.08517,176.55,+0.02149,-0.01633,0.08414,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-11.858,+0.00094,0.00,+0.00000,1,-0.16526,+0.13653,0.03224,+0.008,0,0.0,0.0
0.303629,0,0,0.279625,0.279625,0.2750,+0.00462,0,1,1,+0.02129,-0.01954,0.08535,176.48,+0.02146,-0.01672,0.08429,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-10.902,+0.00077,0.00,+0.00000,1,-0.01237,-0.04969,0.11408,+0.008,0,0.0,0.0
0.330758,0,0,0.279469,0.279469,0.2750,+0.00447,0,1,1,+0.01927,-0.01723,0.08165,176.90,+0.02120,-0.01678,0.08398,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-10.284,+0.00069,0.00,+0.00000,1,-0.00403,+0.00264,0.17066,+0.008,0,0.0,0.0
0.359896,0,0,0.279314,0.279314,0.2750,+0.00431,0,1,1,+0.01927,-0.01723,0.08165,176.90,+0.02096,-0.01684,0.08368,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-9.762,+0.00065,0.00,+0.00000,1,-0.00403,+0.00264,0.17066,+0.007,0,0.0,0.0
0.386110,0,0,0.278405,0.278405,0.2750,+0.00341,0,1,1,+0.01650,-0.01192,0.07412,177.85,+0.02044,-0.01627,0.08257,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-9.189,+0.00054,0.00,+0.00000,1,-0.00178,+0.00142,0.18150,+0.007,0,0.0,0.0
0.417140,0,0,0.278405,0.278405,0.2750,+0.00341,0,1,1,+0.01539,+0.03637,0.05415,186.55,+0.02044,-0.01627,0.08257,1.0000,0,1,0,0,+0.000,+0.000,+0.000,+0.00000,-8.496,+0.00047,0.00,+0.00000,1,-0.00354,+0.00486,0.17504,+0.007,0,0.0,0.0
0.446351,0,0,0.270200,0.270200,0.2750,-0.00480,0,1,1,+0.01357,+0.03457,0.05528,186.22,+0.01957,-0.00979,0.07909,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-7.973,+0.00043,0.00,+0.00000,1,-0.00805,+0.00916,0.15577,+0.006,0,0.0,0.0
0.472933,0,0,0.264759,0.264759,0.2750,-0.01024,0,1,1,+0.01393,+0.03196,0.05693,185.75,+0.01890,-0.00489,0.07649,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-7.514,+0.00038,0.00,+0.00000,1,-0.01533,+0.01449,0.11672,+0.006,0,0.0,0.0
0.502342,0,0,0.263010,0.263010,0.2750,-0.01199,0,1,1,+0.01814,+0.01484,0.06431,182.67,+0.01881,-0.00236,0.07493,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-7.250,+0.00033,0.00,+0.00000,1,-0.00576,+0.00365,0.08432,+0.006,0,0.0,0.0
0.528965,0,0,0.263220,0.263220,0.2750,-0.01178,0,1,1,+0.02134,+0.00602,0.06961,181.08,+0.01910,-0.00138,0.07431,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.771,+0.00029,0.00,+0.00000,1,-0.09226,+0.08853,0.06759,+0.006,0,0.0,0.0
0.554423,0,0,0.263516,0.263516,0.2750,-0.01148,0,1,1,+0.02134,+0.00602,0.06961,181.08,+0.01936,-0.00054,0.07378,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.483,+0.00026,0.00,+0.00000,1,-0.09226,+0.08853,0.06759,+0.005,0,0.0,0.0
0.585567,0,0,0.263976,0.263976,0.2750,-0.01102,0,1,1,+0.02338,+0.00602,0.07158,181.08,+0.01990,+0.00034,0.07348,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.215,+0.00023,0.00,+0.00000,1,-0.06913,+0.06451,0.04831,+0.005,0,0.0,0.0
0.612382,0,0,0.264311,0.264311,0.2750,-0.01069,0,1,1,+0.02318,+0.00678,0.07286,181.22,+0.02029,+0.00110,0.07341,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.117,+0.00020,0.00,+0.00000,1,-0.05269,+0.04516,0.04103,+0.005,0,0.0,0.0
0.641158,0,0,0.264362,0.264362,0.2750,-0.01064,0,1,1,+0.02252,+0.00917,0.07638,181.65,+0.02057,+0.00212,0.07378,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-5.687,+0.00018,0.00,+0.00000,1,-0.05319,+0.03791,0.03689,+0.005,0,0.0,0.0
0.669513,0,0,0.264643,0.264643,0.2750,-0.01036,0,1,1,+0.02130,+0.00852,0.07638,181.53,+0.02066,+0.00291,0.07410,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-5.455,+0.00016,0.00,+0.00000,1,-0.05030,+0.02479,0.03244,+0.005,0,0.0,0.0
0.698777,0,0,0.265010,0.265010,0.2750,-0.00999,0,1,1,+0.02130,+0.00852,0.07638,181.53,+0.02074,+0.00363,0.07439,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-5.150,+0.00014,0.00,+0.00000,1,-0.05030,+0.02479,0.03244,+0.004,0,0.0,0.0
0.730260,0,0,0.266113,0.266113,0.2750,-0.00889,0,1,1,+0.02123,+0.00468,0.07896,180.84,+0.02081,+0.00377,0.07501,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-4.881,+0.00012,0.00,+0.00000,1,-0.09253,+0.04974,0.02713,+0.004,0,0.0,0.0
0.761164,0,0,0.268337,0.268337,0.2750,-0.00666,0,1,1,+0.02080,-0.00293,0.08165,179.47,+0.02081,+0.00287,0.07590,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-4.544,+0.00010,0.00,+0.00000,1,-0.11438,+0.07561,0.01760,+0.004,0,0.0,0.0
0.789083,0,0,0.269990,0.269990,0.2750,-0.00501,0,1,1,+0.02080,-0.00293,0.08165,179.47,+0.02081,+0.00216,0.07661,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-4.307,+0.00009,0.00,+0.00000,1,-0.11438,+0.07561,0.01760,+0.004,0,0.0,0.0
0.821048,0,0,0.272682,0.272682,0.2750,-0.00232,0,1,1,+0.02093,-0.00985,0.08407,178.23,+0.02082,+0.00051,0.07763,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-4.169,+0.00008,0.00,+0.00000,1,-0.24863,+0.21170,0.01300,+0.003,0,0.0,0.0
0.848883,0,0,0.275849,0.275849,0.2750,+0.00085,0,1,1,+0.02129,-0.01833,0.08498,176.70,+0.02088,-0.00179,0.07853,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-4.026,+0.00007,0.00,+0.00000,0,+0.00000,+0.00000,0.01017,+0.003,0,0.0,0.0
0.876230,0,0,0.278966,0.278966,0.2750,+0.00397,0,1,1,+0.02009,-0.02282,0.08660,175.89,+0.02078,-0.00432,0.07950,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-3.893,+0.00007,0.00,+0.00000,0,+0.00000,+0.00000,0.00875,+0.003,0,0.0,0.0
0.902781,0,0,0.282423,0.282423,0.2750,+0.00742,0,1,1,+0.01875,-0.03025,0.08444,174.55,+0.02055,-0.00736,0.08008,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-3.849,+0.00006,0.00,+0.00000,0,+0.00000,+0.00000,0.00595,+0.003,0,0.0,0.0
0.936637,0,0,0.285419,0.285419,0.2750,+0.01042,0,1,1,+0.01830,-0.02928,0.08535,174.73,+0.02022,-0.01054,0.08084,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-3.769,+0.00005,0.00,+0.00000,0,+0.00000,+0.00000,0.00398,+0.003,0,0.0,0.0
0.964573,0,0,0.287237,0.287237,0.2750,+0.01224,0,1,1,+0.01830,-0.02928,0.08535,174.73,+0.01999,-0.01283,0.08140,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-3.732,+0.00004,0.00,+0.00000,0,+0.00000,+0.00000,0.00398,+0.003,0,0.0,0.0
0.990684,0,0,0.288899,0.288899,0.2750,+0.01390,0,1,1,+0.01573,-0.03225,0.08714,174.20,+0.01949,-0.01508,0.08206,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-3.630,+0.00004,0.00,+0.00000,0,+0.00000,+0.00000,0.00197,+0.003,0,0.0,0.0
1.017428,0,0,0.289869,0.289869,0.2750,+0.01487,0,1,1,+0.01619,-0.03069,0.08678,174.48,+0.01910,-0.01692,0.08262,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-3.556,+0.00003,0.00,+0.00000,0,+0.00000,+0.00000,0.00193,+0.002,0,35.4,34.5
1.043120,0,0,0.291549,0.291549,0.2750,+0.01655,0,1,1,+0.01590,-0.03815,0.09010,173.13,+0.01874,-0.01933,0.08347,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-3.428,+0.00003,0.00,+0.00000,0,+0.00000,+0.00000,0.00199,+0.002,0,35.4,34.5
1.067042,0,0,0.292822,0.292822,0.2750,+0.01782,0,1,1,+0.01671,-0.03921,0.08975,172.94,+0.01852,-0.02146,0.08414,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-3.400,+0.00003,0.00,+0.00000,0,+0.00000,+0.00000,0.00199,+0.002,0,35.4,34.5
1.092433,0,0,0.293739,0.293739,0.2750,+0.01874,0,1,1,+0.01671,-0.03921,0.08975,172.94,+0.01832,-0.02346,0.08477,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-3.361,+0.00003,0.00,+0.00000,0,+0.00000,+0.00000,0.00199,+0.002,0,35.4,34.5
1.120539,0,0,0.294375,0.294375,0.2750,+0.01938,0,1,1,+0.01452,-0.03950,0.09162,172.89,+0.01785,-0.02543,0.08562,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-3.299,+0.00002,0.00,+0.00000,0,+0.00000,+0.00000,0.00224,+0.002,0,35.4,34.5
1.147379,0,0,0.294348,0.294348,0.2750,+0.01935,0,1,1,+0.01435,-0.03738,0.09296,173.27,+0.01744,-0.02685,0.08648,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-3.281,+0.00002,0.00,+0.00000,0,+0.00000,+0.00000,0.00230,+0.002,0,35.4,34.5
1.174202,0,0,0.294270,0.294270,0.2750,+0.01927,0,1,1,+0.01421,-0.03825,0.09263,173.12,+0.01706,-0.02820,0.08721,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-3.318,+0.00002,0.00,+0.00000,0,+0.00000,+0.00000,0.00265,+0.002,0,35.4,34.5
1.203132,0,0,0.293371,0.293371,0.2750,+0.01837,0,1,1,+0.01618,-0.03430,0.09213,173.83,+0.01694,-0.02897,0.08783,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-3.370,+0.00002,0.00,+0.00000,0,+0.00000,+0.00000,0.00483,+0.002,0,35.4,34.5
1.232448,0,0,0.292468,0.292468,0.2750,+0.01747,0,1,1,+0.01618,-0.03430,0.09213,173.83,+0.01685,-0.02965,0.08838,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-3.412,+0.00001,0.00,+0.00000,0,+0.00000,+0.00000,0.00483,+0.002,0,35.4,34.5
