t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.467568,0,0,0.267601,0.267601,0.2750,-0.00740,0,1,1,+0.02170,+0.01105,0.07495,181.99,+0.01937,+0.01868,+0.00000,-0.00343,0.07336,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-7.997,-0.08712,-15.00,-0.00910,1,-0.02184,+0.00345,0.02869,-0.002,0,0.0,0.0
0.497603,0,0,0.267152,0.267152,0.2750,-0.00785,0,1,1,+0.02202,+0.00570,0.07678,181.03,+0.01971,+0.01881,+0.00000,-0.00224,0.07381,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-7.675,-0.09570,-15.00,-0.00946,1,-0.05183,+0.02923,0.02834,-0.002,0,0.0,0.0
0.526557,0,0,0.265416,0.265416,0.2750,-0.00958,0,1,1,+0.02323,+0.01528,0.07536,182.75,+0.02016,+0.01898,+0.00000,-0.00003,0.07401,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-7.337,-0.10210,-15.00,-0.00987,1,-0.03298,+0.00642,0.02779,-0.002,0,0.0,0.0
0.557506,0,0,0.264846,0.264846,0.2750,-0.01015,0,1,1,+0.02246,+0.01111,0.08089,182.00,+0.02047,+0.01918,+0.00000,+0.00147,0.07493,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-7.079,-0.10719,-15.00,-0.01018,1,-0.05714,+0.02653,0.02739,-0.002,0,0.0,0.0
0.588705,0,0,0.264834,0.264834,0.2750,-0.01017,0,1,1,+0.02187,+0.00953,0.08203,181.72,+0.02066,+0.01938,+0.00000,+0.00255,0.07589,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.837,-0.11207,-15.00,-0.01047,1,-0.04179,+0.00959,0.02755,-0.001,0,0.0,0.0
0.616920,0,0,0.263580,0.263580,0.2750,-0.01142,0,1,1,+0.02139,+0.01840,0.08370,183.31,+0.02075,+0.01955,+0.00000,+0.00451,0.07685,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.776,-0.11579,-15.00,-0.01051,1,-0.03900,+0.00407,0.02629,-0.001,0,0.0,0.0
0.646485,0,0,0.260163,0.260163,0.2750,-0.01484,0,1,1,+0.02253,+0.03432,0.08333,186.18,+0.02098,+0.01973,+0.00000,+0.00835,0.07769,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.700,-0.11952,-15.00,-0.01058,1,-0.04690,+0.01246,0.02280,-0.001,0,0.0,0.0
0.676305,0,0,0.258346,0.258346,0.2750,-0.01665,0,1,1,+0.02073,+0.03040,0.08370,185.47,+0.02095,+0.01989,+0.00000,+0.01121,0.07847,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.478,-0.12091,-15.00,-0.01088,1,-0.08246,+0.05059,0.01902,-0.001,0,0.0,0.0
0.706292,0,0,0.254796,0.254796,0.2750,-0.02020,0,1,1,+0.01936,+0.04496,0.08517,188.09,+0.02074,+0.02000,+0.00000,+0.01561,0.07934,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.318,-0.12119,-15.00,-0.01111,1,-0.09699,+0.07018,0.01619,-0.000,0,0.0,0.0
0.736709,0,0,0.252309,0.252309,0.2750,-0.02269,0,1,1,+0.01936,+0.04496,0.08517,188.09,+0.02056,+0.02007,+0.00000,+0.01949,0.08011,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.162,-0.12513,-15.00,-0.01129,1,-0.09699,+0.07018,0.01619,-0.000,0,0.0,0.0
0.768091,0,0,0.249639,0.249639,0.2750,-0.02536,0,1,1,+0.01990,+0.05114,0.08767,189.20,+0.02047,+0.02013,+0.00000,+0.02378,0.08113,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.130,-0.12672,-15.00,-0.01132,1,-0.14491,+0.11308,0.01095,-0.000,0,0.0,0.0
0.798104,0,0,0.248001,0.248001,0.2750,-0.02700,0,1,1,+0.01990,+0.05114,0.08767,189.20,+0.02039,+0.02016,+0.00000,+0.02735,0.08199,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.285,-0.13008,-15.00,-0.01105,1,-0.14491,+0.11308,0.01095,+0.000,0,0.0,0.0
0.829015,0,0,0.246741,0.246741,0.2750,-0.02826,0,1,1,+0.01981,+0.05313,0.09129,189.56,+0.02032,+0.02018,+0.00000,+0.03080,0.08323,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.233,-0.13125,-15.00,-0.01111,0,+0.00000,+0.00000,0.00811,+0.000,0,0.0,0.0
0.857995,0,0,0.245577,0.245577,0.2750,-0.02942,0,1,1,+0.02004,+0.05679,0.08660,190.22,+0.02028,+0.02020,+0.00000,+0.03409,0.08366,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.234,-0.12891,-15.00,-0.01114,0,+0.00000,+0.00000,0.00736,+0.000,0,0.0,0.0
0.883725,0,0,0.244019,0.244019,0.2750,-0.03098,0,1,1,+0.01865,+0.06378,0.08992,191.48,+0.02010,+0.02018,+0.00000,+0.03748,0.08437,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.219,-0.12835,-15.00,-0.01117,0,+0.00000,+0.00000,0.00478,+0.000,0,0.0,0.0
0.911331,0,0,0.242315,0.242315,0.2750,-0.03269,0,1,1,+0.01854,+0.06850,0.08553,192.33,+0.01991,+0.02015,+0.00000,+0.04124,0.08451,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.140,-0.12985,-15.00,-0.01126,0,+0.00000,+0.00000,0.00145,+0.000,0,0.0,0.0
0.940355,0,0,0.240447,0.240447,0.2750,-0.03455,0,1,1,+0.01822,+0.07386,0.08924,193.29,+0.01969,+0.02009,+0.00000,+0.04537,0.08511,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.213,-0.13033,-15.00,-0.01115,0,+0.00000,+0.00000,0.00152,+0.000,0,0.0,0.0
0.971326,0,0,0.239361,0.239361,0.2750,-0.03564,0,1,1,+0.01822,+0.07386,0.08924,193.29,+0.01950,+0.02001,+0.00000,+0.04919,0.08566,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.301,-0.13138,-15.00,-0.01101,0,+0.00000,+0.00000,0.00152,+0.000,0,0.0,0.0
0.999598,0,0,0.237372,0.237372,0.2750,-0.03763,0,1,1,+0.01713,+0.08411,0.08802,195.14,+0.01920,+0.01991,+0.00000,+0.05352,0.08596,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.428,-0.13115,-15.00,-0.01083,0,+0.00000,+0.00000,0.00154,+0.000,0,0.0,0.0
1.030440,0,0,0.236094,0.236094,0.2750,-0.03891,0,1,1,+0.01579,+0.08460,0.09027,195.23,+0.01875,+0.01976,+0.00000,+0.05767,0.08653,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.647,-0.12936,-15.00,-0.01053,0,+0.00000,+0.00000,0.00155,+0.000,0,35.0,34.1
1.057672,0,0,0.233696,0.233696,0.2750,-0.04130,0,1,1,+0.01521,+0.09710,0.09095,197.48,+0.01832,+0.01958,+0.00000,+0.06239,0.08706,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-6.838,-0.12688,-15.00,-0.01028,0,+0.00000,+0.00000,0.02518,+0.000,0,35.0,34.1
1.090561,0,0,0.232758,0.232758,0.2750,-0.04224,0,1,1,+0.01698,+0.09317,0.08992,196.77,+0.01813,+0.01938,+0.00000,+0.06674,0.08747,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-7.080,-0.12375,-15.00,-0.00997,0,+0.00000,+0.00000,0.06943,+0.000,0,35.0,34.1
1.120260,0,0,0.230494,0.230494,0.2750,-0.04451,0,1,1,+0.01540,+0.10605,0.08941,199.09,+0.01778,+0.01917,+0.00000,+0.07182,0.08772,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-7.262,-0.12112,-15.00,-0.00974,0,+0.00000,+0.00000,0.12547,+0.000,0,35.0,34.1
1.150088,0,0,0.230000,0.230000,0.2750,-0.04500,0,1,1,+0.01493,+0.10676,0.09179,199.22,+0.01741,+0.01894,+0.00000,+0.07636,0.08825,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-7.437,-0.11772,-15.00,-0.00953,0,+0.00000,+0.00000,0.12370,+0.000,0,35.0,34.1
1.184068,0,0,0.230000,0.230000,0.2750,-0.04500,0,1,1,+0.01542,+0.10654,0.09162,199.18,+0.01712,+0.01868,+0.00000,+0.08074,0.08874,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-7.687,-0.11508,-15.00,-0.00920,0,+0.00000,+0.00000,0.10678,+0.000,0,35.0,34.1
1.212223,0,0,0.230000,0.230000,0.2750,-0.04500,0,1,1,+0.01566,+0.12266,0.09280,202.08,+0.01694,+0.01846,+0.00000,+0.08591,0.08924,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-7.841,-0.11339,-15.00,-0.00900,0,+0.00000,+0.00000,0.08232,+0.000,0,35.0,34.1
1.241041,0,0,0.230000,0.230000,0.2750,-0.04500,0,1,1,+0.01677,+0.11974,0.09412,201.55,+0.01692,+0.01827,+0.00000,+0.09017,0.08985,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-8.061,-0.10938,-15.00,-0.00873,0,+0.00000,+0.00000,0.06756,+0.000,0,35.0,34.1
1.271607,0,0,0.230000,0.230000,0.2750,-0.04500,0,1,1,+0.01659,+0.11787,0.09313,201.22,+0.01687,+0.01808,+0.00000,+0.09385,0.09029,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-8.238,-0.10650,-15.00,-0.00850,0,+0.00000,+0.00000,0.05798,+0.000,0,35.0,34.1
1.301267,0,0,0.230000,0.230000,0.2750,-0.04500,0,1,1,+0.01659,+0.11787,0.09313,201.22,+0.01684,+0.01792,+0.00000,+0.09695,0.09065,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-8.438,-0.10416,-15.00,-0.00824,0,+0.00000,+0.00000,0.05798,+0.000,0,35.0,34.1
1.330719,0,0,0.230000,0.230000,0.2750,-0.04500,0,1,1,+0.01814,+0.12483,0.09734,202.47,+0.01701,+0.01781,+0.00000,+0.10053,0.09151,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-8.595,-0.10096,-15.00,-0.00805,0,+0.00000,+0.00000,0.04462,+0.001,0,35.0,34.1
1.358960,0,0,0.230000,0.230000,0.2750,-0.04500,0,1,1,+0.01740,+0.12597,0.09655,202.68,+0.01705,+0.01771,+0.00000,+0.10368,0.09213,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-8.694,-0.09824,-15.00,-0.00794,0,+0.00000,+0.00000,0.04151,+0.001,0,35.0,34.1
1.388054,0,0,0.230000,0.230000,0.2750,-0.04500,0,1,1,+0.01855,+0.12608,0.09750,202.69,+0.01724,+0.01765,+0.00000,+0.10652,0.09282,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-8.874,-0.09594,-15.00,-0.00771,0,+0.00000,+0.00000,0.02845,+0.001,0,35.0,34.1
1.418170,0,0,0.230000,0.230000,0.2750,-0.04500,0,1,1,+0.01879,+0.13302,0.09362,203.94,+0.01745,+0.01763,+0.00000,+0.10999,0.09292,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-8.988,-0.09462,-15.00,-0.00756,1,+0.03824,-0.02295,0.02372,+0.001,0,35.0,34.1
