t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,v_f,sz_f,sig_k,live,far_rej,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.010388,0,0,0.276687,0.276687,0.2750,+0.00169,0,1,1,+0.02167,-0.01055,0.08165,178.10,+0.02167,-0.01055,0.08165,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.802,+0.00000,0.00,+0.00000,1,-0.01586,-0.00413,0.01843,+0.014,0,0.0,0.0
0.046123,0,0,0.276858,0.276858,0.2750,+0.00186,0,1,1,+0.02185,-0.01147,0.08203,177.94,+0.02170,-0.01069,0.08171,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.802,+0.00000,0.00,+0.00000,1,-0.01730,-0.00200,0.01831,+0.014,0,0.0,0.0
0.075926,0,0,0.277047,0.277047,0.2750,+0.00205,0,1,1,+0.02155,-0.01197,0.08221,177.84,+0.02168,-0.01085,0.08177,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.833,-0.01500,0.00,+0.00000,1,-0.01681,-0.00353,0.01805,+0.009,0,0.0,0.0
0.107208,0,0,0.277348,0.277348,0.2750,+0.00235,0,1,1,+0.01990,-0.01290,0.08203,177.68,+0.02144,-0.01113,0.08181,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.589,-0.00131,0.00,+0.00000,1,-0.01519,-0.00191,0.01806,+0.009,0,0.0,0.0
0.139228,0,0,0.277761,0.277761,0.2750,+0.00276,0,1,1,+0.01904,-0.01401,0.08146,177.48,+0.02111,-0.01153,0.08176,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-16.609,-0.00163,0.00,+0.00000,1,-0.02080,+0.00279,0.01796,+0.006,0,0.0,0.0
0.169154,0,0,0.278096,0.278096,0.2750,+0.00310,0,1,1,+0.01909,-0.01432,0.08203,177.42,+0.02085,-0.01189,0.08179,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-15.667,+0.00428,0.00,+0.00000,1,-0.02079,+0.00199,0.01778,+0.007,0,0.0,0.0
0.200482,0,0,0.278700,0.278700,0.2750,+0.00370,0,1,1,+0.01905,-0.01645,0.08370,177.04,+0.02060,-0.01251,0.08205,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-14.488,+0.00067,0.00,+0.00000,1,-0.01406,-0.00569,0.01775,+0.007,0,0.0,0.0
0.235815,0,0,0.279239,0.279239,0.2750,+0.00424,0,1,1,+0.02006,-0.01684,0.08407,176.97,+0.02052,-0.01316,0.08236,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-13.317,+0.00054,0.00,+0.00000,1,-0.01575,-0.00450,0.01767,+0.007,0,0.0,0.0
0.265995,0,0,0.279697,0.279697,0.2750,+0.00470,0,1,1,+0.02012,-0.01767,0.08462,176.82,+0.02047,-0.01375,0.08265,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-12.233,+0.00072,0.00,+0.00000,1,-0.01020,-0.01019,0.01826,+0.007,0,0.0,0.0
0.298932,0,0,0.280030,0.280030,0.2750,+0.00503,0,1,1,+0.02133,-0.01768,0.08517,176.82,+0.02059,-0.01431,0.08301,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-11.474,+0.00055,0.00,+0.00000,1,-0.02220,-0.00415,0.01919,+0.006,0,0.0,0.0
0.330757,0,0,0.280584,0.280584,0.2750,+0.00558,0,1,1,+0.02176,-0.01978,0.08625,176.44,+0.02075,-0.01506,0.08345,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-10.535,+0.00047,0.00,+0.00000,1,-0.15732,+0.12735,0.03168,+0.006,0,0.0,0.0
0.360032,0,0,0.280933,0.280933,0.2750,+0.00593,0,1,1,+0.02176,-0.01978,0.08625,176.44,+0.02088,-0.01566,0.08381,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-9.882,+0.00044,0.00,+0.00000,1,-0.15732,+0.12735,0.03168,+0.006,0,0.0,0.0
