t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,desc_leg,descent_bias,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,gate_cmd_deg,committed,commit_k,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.016495,0,0,0.273120,0.273120,0.2750,-0.00188,0,0,0.0000,1,1,+0.02051,+0.01175,0.07328,182.11,+0.02051,+0.02051,+0.00000,+0.01175,0.07328,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.802,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,+0.013,0,0.0,0.0
0.035560,0,0,0.273120,0.273120,0.2750,-0.00188,0,0,0.0000,1,1,+0.02051,+0.01175,0.07328,182.11,+0.02051,+0.02051,+0.00000,+0.01175,0.07328,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.802,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,+0.013,0,0.0,0.0
0.048454,0,0,0.273785,0.273785,0.2750,-0.00122,0,0,0.0000,1,1,+0.02083,+0.00352,0.07577,180.63,+0.02053,+0.02051,+0.00000,+0.01125,0.07343,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.864,-0.01325,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,-0.003,0,0.0,0.0
0.062075,0,0,0.274403,0.274403,0.2750,-0.00060,0,0,0.0000,1,1,+0.02083,+0.00352,0.07577,180.63,+0.02055,+0.02051,+0.00000,+0.01076,0.07358,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.853,-0.01718,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,+0.003,0,0.0,0.0
0.075495,0,0,0.275141,0.275141,0.2750,+0.00014,0,0,0.0000,1,1,+0.02083,+0.00110,0.07698,180.20,+0.02057,+0.02052,+0.00000,+0.01015,0.07380,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.786,-0.00674,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,-0.003,0,0.0,0.0
0.088179,0,0,0.275756,0.275756,0.2750,+0.00076,0,0,0.0000,1,1,+0.02083,+0.00110,0.07698,180.20,+0.02058,+0.02052,+0.00000,+0.00961,0.07399,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.676,-0.00066,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,+0.003,0,0.0,0.0
0.101385,0,0,0.276317,0.276317,0.2750,+0.00132,0,0,0.0000,1,1,+0.02083,+0.00110,0.07698,180.20,+0.02060,+0.02053,+0.00000,+0.00908,0.07417,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.321,+0.00009,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,+0.002,0,0.0,0.0
0.112941,0,0,0.276836,0.276836,0.2750,+0.00184,0,0,0.0000,1,1,+0.02085,-0.00006,0.07718,179.99,+0.02061,+0.02053,+0.00000,+0.00859,0.07434,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.067,-0.00048,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,+0.002,0,0.0,0.0
0.124898,0,0,0.277308,0.277308,0.2750,+0.00231,0,0,0.0000,1,1,+0.02085,-0.00006,0.07718,179.99,+0.02063,+0.02054,+0.00000,+0.00810,0.07450,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-16.802,+0.00016,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,+0.003,0,0.0,0.0
0.136906,0,0,0.277722,0.277722,0.2750,+0.00272,0,0,0.0000,1,1,+0.02085,-0.00006,0.07718,179.99,+0.02064,+0.02054,+0.00000,+0.00764,0.07465,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-16.349,+0.00003,+0.00,+0.00000,0,+0.00000,+0.00000,0.00000,+0.004,0,0.0,0.0
