t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,desc_leg,descent_bias,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,tube_solid,rail_on,rail_auth,u_tube_f,curv_f,rail_k,rail_deg,gate_cmd_deg,gate_auth,committed,commit_k,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.017218,0,0,0.277600,0.277600,0.2750,+0.00260,0,0,0.0000,1,1,+0.02087,-0.01625,0.08370,177.07,+0.02087,+0.02087,+0.00000,-0.01625,0.08370,1.0000,1,0,1,1,0.0000,-0.17447,+0.14227,1.0000,+5.921,+0.000,1.0000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.800,+0.00000,+0.00,+0.00000,1,-0.17447,+0.14227,0.04202,+0.015,0,0.0,0.0
0.050468,0,0,0.277738,0.277738,0.2750,+0.00274,0,0,0.0000,1,1,+0.01950,-0.01704,0.08333,176.93,+0.02067,+0.02084,+0.00084,-0.01636,0.08365,1.0000,1,0,1,1,0.1425,-0.15098,+0.11641,1.0000,+5.315,+0.000,0.8575,0,1.0000,0,0,+0.000,+0.758,+0.758,+0.00324,-17.800,+0.00000,+0.00,+0.00000,1,-0.00964,-0.03914,0.11628,+0.015,0,0.0,0.0
0.082174,0,0,0.278078,0.278078,0.2750,+0.00308,0,0,0.0000,1,1,+0.01738,-0.01847,0.08051,176.68,+0.02022,+0.02076,+0.00267,-0.01665,0.08322,1.0000,1,0,1,1,0.2599,-0.13081,+0.10056,1.0000,+4.614,+0.000,0.7401,0,1.0000,0,0,+0.000,+1.199,+1.199,+0.00528,-17.832,-0.01402,+0.00,+0.00000,1,-0.00359,+0.00059,0.16301,-0.006,0,0.0,0.0
0.111984,0,0,0.277345,0.277345,0.2750,+0.00234,0,0,0.0000,1,1,+0.01462,-0.01245,0.07328,177.76,+0.01950,+0.02059,+0.00549,-0.01611,0.08193,1.0000,1,0,1,1,0.3559,-0.11409,+0.08774,1.0000,+4.024,+0.000,0.6441,0,1.0000,0,0,+0.000,+1.432,+1.432,+0.00625,-17.206,+0.00084,+0.00,+0.00000,1,-0.00196,+0.00169,0.17174,-0.001,0,0.0,0.0
0.141790,0,0,0.277345,0.277345,0.2750,+0.00234,0,0,0.0000,1,1,+0.01453,+0.04935,0.05152,188.88,+0.01950,+0.02045,+0.00477,-0.01611,0.08193,1.0000,0,1,1,1,0.4394,-0.09973,+0.07687,1.0000,+3.512,+0.000,0.5606,0,1.0000,0,0,+0.000,+1.543,+1.543,+0.00658,-16.427,-0.00314,+0.00,+0.00000,1,-0.00332,+0.00396,0.16172,+0.020,0,0.0,0.0
0.169299,0,0,0.277345,0.277345,0.2750,+0.00234,0,0,0.0000,1,1,+0.01485,+0.05111,0.05122,189.20,+0.01950,+0.02034,+0.00420,-0.01611,0.08193,1.0000,0,1,1,1,0.5072,-0.08856,+0.06849,1.0000,+3.112,+0.000,0.4928,0,1.0000,0,0,+0.000,+1.578,+1.578,+0.00589,-15.526,+0.00378,+0.00,+0.00000,1,-0.00738,+0.00760,0.14213,+0.131,0,0.0,0.0
0.195244,0,0,0.268093,0.268093,0.2750,-0.00691,0,0,0.0000,1,1,+0.01319,+0.04770,0.05528,188.59,+0.01877,+0.02016,+0.00692,-0.00878,0.07887,1.0000,1,0,1,1,0.5638,-0.07990,+0.06212,1.0000,+2.798,+0.000,0.4362,0,1.0000,0,0,+0.000,+1.578,+1.578,+0.00537,-14.621,+0.00282,+0.00,+0.00000,1,-0.01317,+0.01303,0.11319,+0.264,0,0.0,0.0
0.221013,0,0,0.260872,0.260872,0.2750,-0.01413,0,0,0.0000,1,1,+0.01319,+0.04770,0.05528,188.59,+0.01814,+0.01993,+0.00895,-0.00233,0.07618,1.0000,1,0,1,1,0.6136,-0.07229,+0.05652,1.0000,+2.523,+0.000,0.3864,0,1.0000,0,0,+0.000,+1.548,+1.548,+0.00497,-13.777,+0.00041,+0.00,+0.00000,1,-0.01317,+0.01303,0.11319,+0.346,0,0.0,0.0
0.250561,0,0,0.261158,0.261158,0.2750,-0.01384,0,0,0.0000,1,1,+0.01720,+0.00749,0.06310,181.35,+0.01802,+0.01968,+0.00832,-0.00107,0.07449,1.0000,1,0,1,1,0.6633,-0.06441,+0.05028,1.0000,+2.250,+0.000,0.3367,0,1.0000,0,0,+0.000,+1.493,+1.493,+0.00435,-12.709,+0.00064,+0.00,+0.00000,1,-0.01112,+0.00806,0.07889,+0.438,0,0.0,0.0
0.277068,0,0,0.262931,0.262931,0.2750,-0.01207,0,0,0.0000,1,1,+0.01901,-0.00197,0.06736,179.65,+0.01813,+0.01950,+0.00684,-0.00117,0.07366,1.0000,1,0,1,1,0.7027,-0.05883,+0.04599,1.0000,+2.053,+0.000,0.2973,0,1.0000,0,0,+0.000,+1.443,+1.443,+0.00390,-11.965,+0.00080,+0.00,+0.00000,1,-0.01673,+0.01362,0.06423,+0.493,0,0.0,0.0
0.305295,0,0,0.265053,0.265053,0.2750,-0.00995,0,0,0.0000,1,1,+0.02293,-0.00508,0.07349,179.09,+0.01872,+0.01940,+0.00339,-0.00166,0.07364,1.0000,1,0,1,1,0.7395,-0.05768,+0.04594,1.0000,+1.989,+0.000,0.2605,0,1.0000,0,0,+0.000,+1.471,+1.471,+0.00381,-11.246,+0.00065,+0.00,+0.00000,1,-0.04950,+0.04558,0.04645,+0.546,0,0.0,0.0
0.334232,0,0,0.266509,0.266509,0.2750,-0.00849,0,0,0.0000,1,1,+0.02406,-0.00270,0.07307,179.51,+0.01940,+0.01940,+0.00002,-0.00179,0.07357,1.0000,1,0,1,1,0.7724,-0.05343,+0.04271,1.0000,+1.838,+0.000,0.2276,0,1.0000,0,0,+0.000,+1.420,+1.420,+0.00341,-10.454,+0.00054,+0.00,+0.00000,1,-0.02408,+0.02041,0.03898,+0.593,0,0.0,0.0
0.365449,0,0,0.267846,0.267846,0.2750,-0.00715,0,0,0.0000,1,1,+0.02406,-0.00270,0.07307,179.51,+0.02003,+0.01949,-0.00271,-0.00191,0.07350,1.0000,1,0,1,1,0.8031,-0.04947,+0.03970,1.0000,+1.697,+0.000,0.1969,0,1.0000,0,0,+0.000,+1.363,+1.363,+0.00304,-9.890,+0.00050,+0.00,+0.00000,1,-0.02408,+0.02041,0.03898,+0.624,0,0.0,0.0
