t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.019781,0,0,0.275942,0.275942,0.2750,+0.00094,0,1,1,+0.01849,-0.00589,0.07201,178.94,+0.01849,+0.01849,+0.00000,-0.00589,0.07201,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.802,+0.00000,0.00,+0.00000,1,-0.03255,+0.02542,0.04051,+0.015,0,0.0,0.0
0.052592,0,0,0.275942,0.275942,0.2750,+0.00094,0,1,1,+0.01849,-0.00589,0.07201,178.94,+0.01849,+0.01849,+0.00000,-0.00589,0.07201,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.802,+0.00000,0.00,+0.00000,1,-0.03255,+0.02542,0.04051,+0.015,0,0.0,0.0
0.084366,0,0,0.276270,0.276270,0.2750,+0.00127,0,1,1,+0.02004,-0.00782,0.07433,178.59,+0.01870,+0.01852,+0.00000,-0.00615,0.07233,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.806,-0.00949,0.00,+0.00000,1,-0.02547,+0.01407,0.03293,+0.015,0,0.0,0.0
0.115204,0,0,0.276509,0.276509,0.2750,+0.00151,0,1,1,+0.02004,-0.00782,0.07433,178.59,+0.01888,+0.01857,+0.00000,-0.00637,0.07259,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-17.277,-0.00307,0.00,+0.00000,1,-0.02547,+0.01407,0.03293,+0.011,0,0.0,0.0
0.144589,0,0,0.277261,0.277261,0.2750,+0.00226,0,1,1,+0.01882,-0.01146,0.07678,177.94,+0.01887,+0.01861,+0.00000,-0.00703,0.07313,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-16.576,-0.00240,0.00,+0.00000,1,-0.01825,+0.00249,0.02945,+0.012,0,0.0,0.0
0.175335,0,0,0.278093,0.278093,0.2750,+0.00309,0,1,1,+0.02035,-0.01296,0.07698,177.67,+0.01907,+0.01867,+0.00000,-0.00782,0.07364,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-15.700,+0.00676,0.00,+0.00000,1,-0.01694,-0.00193,0.02835,+0.012,0,0.0,0.0
0.204882,0,0,0.279032,0.279032,0.2750,+0.00403,0,1,1,+0.01979,-0.01513,0.07837,177.28,+0.01916,+0.01873,+0.00000,-0.00876,0.07425,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-14.173,+0.00099,0.00,+0.00000,1,-0.01247,-0.00684,0.02759,+0.012,0,0.0,0.0
0.233309,0,0,0.280476,0.280476,0.2750,+0.00548,0,1,1,+0.02125,-0.02011,0.07954,176.38,+0.01942,+0.01882,+0.00000,-0.01017,0.07491,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-13.307,+0.00058,0.00,+0.00000,1,-0.01479,-0.00724,0.02759,+0.011,0,0.0,0.0
0.260740,0,0,0.281564,0.281564,0.2750,+0.00656,0,1,1,+0.02005,-0.02039,0.08089,176.33,+0.01950,+0.01890,+0.00000,-0.01140,0.07563,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-12.195,+0.00112,0.00,+0.00000,1,-0.00453,-0.01714,0.02747,+0.011,0,0.0,0.0
0.288597,0,0,0.282499,0.282499,0.2750,+0.00750,0,1,1,+0.02018,-0.02126,0.08221,176.17,+0.01958,+0.01898,+0.00000,-0.01261,0.07644,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-11.488,+0.00094,0.00,+0.00000,1,-0.00814,-0.01542,0.02708,+0.010,0,0.0,0.0
0.318751,0,0,0.283351,0.283351,0.2750,+0.00835,0,1,1,+0.01946,-0.02222,0.08259,176.00,+0.01956,+0.01906,+0.00000,-0.01387,0.07724,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-10.844,+0.00084,0.00,+0.00000,1,-0.01351,-0.00983,0.02704,+0.010,0,0.0,0.0
0.349136,0,0,0.283914,0.283914,0.2750,+0.00891,0,1,1,+0.01946,-0.02222,0.08259,176.00,+0.01955,+0.01912,+0.00000,-0.01497,0.07795,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-9.955,+0.00070,0.00,+0.00000,1,-0.01351,-0.00983,0.02704,+0.009,0,0.0,0.0
0.379735,0,0,0.284445,0.284445,0.2750,+0.00944,0,1,1,+0.01943,-0.02342,0.08444,175.78,+0.01953,+0.01918,+0.00000,-0.01609,0.07881,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-9.371,+0.00063,0.00,+0.00000,1,-0.01810,-0.00693,0.02774,+0.009,0,0.0,0.0
0.410859,0,0,0.284746,0.284746,0.2750,+0.00975,0,1,1,+0.01943,-0.02342,0.08444,175.78,+0.01952,+0.01922,+0.00000,-0.01708,0.07957,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-8.620,+0.00053,0.00,+0.00000,1,-0.01810,-0.00693,0.02774,+0.009,0,0.0,0.0
