169,FAST,7,3.12,+0.088,+0.366
198,FAST,4,3.10,+0.235,+0.082
412,SLOW,1,6.07,-0.608,+0.174
58,SLOW,1,26.96,-0.119,+0.874
61,FAST,7,3.10,-0.008,+0.177
62,FAST,7,3.10,+0.014,+0.203
63,SLOW,1,6.78,+0.544,-0.053
64,SLOW,1,27.22,-0.472,+0.772
65,FAST,7,3.09,+0.123,+0.252
67,FAST,8,3.19,+0.231,+0.262
68,SLOW,1,6.50,+0.495,-0.169
71,FAST,8,3.10,+0.320,+0.259
73,FAST,1,3.13,-0.205,+0.323
74,SLOW,4,6.43,+0.379,-0.068
75,FAST,1,3.08,-0.286,+0.291
76,SLOW,1,8.18,+0.519,+0.167
78,SLOW,1,6.74,+0.500,-0.118
79,SLOW,1,8.36,+0.499,+0.097
80,SLOW,8,6.78,+0.441,+0.058
81,SLOW,9,8.47,+0.551,+0.024
83,SLOW,3,6.73,+0.517,-0.002
85,FAST,4,3.12,+0.151,+0.138
86,SLOW,1,27.19,-0.418,+0.876
87,FAST,3,3.11,-0.221,+0.271
89,SLOW,1,6.67,+0.501,-0.036
91,FAST,7,3.09,+0.241,+0.353
92,SLOW,3,6.67,+0.464,-0.276
94,SLOW,3,6.64,+0.456,-0.186
97,SLOW,1,9.90,-0.041,+0.871
100,SLOW,8,6.51,+0.501,+0.025
102,SLOW,3,6.69,+0.514,-0.071
103,FAST,3,3.11,-0.167,+0.373
104,FAST,7,3.17,-0.049,+0.155
105,SLOW,1,6.83,+0.364,-0.155
109,SLOW,3,6.57,+0.415,-0.188
110,SLOW,1,26.98,-0.557,-0.830
115,FAST,7,3.09,+0.066,+0.337
116,SLOW,3,6.40,+0.421,-0.112
117,FAST,7,3.21,-0.277,+0.648
118,SLOW,8,6.63,+0.500,+0.064
120,SLOW,1,12.32,-0.092,-0.605
122,FAST,7,3.10,+0.229,+0.330
125,FAST,1,3.15,-0.162,+0.282
126,FAST,1,3.11,-0.159,+0.280
128,SLOW,1,6.65,+0.428,-0.173
129,FAST,1,3.18,+0.323,-0.088
130,FAST,1,3.25,-0.278,+0.223
131,SLOW,4,26.72,-0.422,+0.520
136,FAST,1,3.06,-0.423,+0.276
141,SLOW,3,6.68,+0.507,-0.084
143,FAST,3,3.09,-0.190,+0.334
144,SLOW,1,7.60,+0.518,-0.038
145,SLOW,1,26.97,-0.272,+0.811
146,FAST,7,3.12,+0.055,+0.232
147,FAST,1,3.14,+0.177,+0.314
148,SLOW,3,7.32,+0.517,-0.094
151,SLOW,1,8.76,-0.377,+0.363
152,FAST,7,3.13,+0.167,+0.295
154,SLOW,4,6.63,+0.378,-0.140
155,FAST,1,3.11,+0.310,+0.067
156,FAST,7,3.09,+0.013,+0.231
157,SLOW,3,6.66,+0.441,-0.036
159,FAST,7,3.15,-0.072,+0.322
160,FAST,7,3.19,+0.058,+0.250
161,SLOW,3,6.71,+0.440,-0.199
162,FAST,7,3.15,-0.077,+0.261
164,FAST,1,3.11,+0.228,+0.130
167,FAST,1,3.16,-0.247,+0.251
168,FAST,7,3.15,-0.084,+0.267
170,SLOW,2,11.12,-0.037,+0.805
172,FAST,4,3.14,+0.272,+0.006
173,SLOW,3,6.71,+0.501,+0.274
175,SLOW,1,6.06,-0.477,+0.509
177,SLOW,3,6.63,+0.462,-0.155
178,SLOW,8,6.40,+0.463,+0.188
179,FAST,1,3.12,-0.180,+0.342
180,FAST,7,3.12,+0.105,+0.162
182,SLOW,2,26.97,-0.284,+0.801
185,SLOW,1,7.78,+0.529,+0.022
187,SLOW,3,6.69,+0.476,-0.150
188,FAST,7,3.10,+0.020,+0.255
190,FAST,7,3.14,+0.035,+0.323
195,FAST,7,3.10,+0.113,+0.283
196,FAST,4,3.08,+0.137,+0.338
197,SLOW,3,6.65,+0.490,+0.181
200,FAST,7,3.12,+0.311,+0.197
201,FAST,3,3.02,-0.252,+0.311
203,FAST,1,3.16,-0.229,+0.302
205,SLOW,4,6.61,+0.348,-0.180
207,FAST,1,2.98,+0.465,+0.061
213,SLOW,1,26.98,-0.324,+0.808
214,SLOW,4,6.28,-0.642,+0.323
216,SLOW,1,6.69,+0.522,-0.049
217,SLOW,1,26.96,+0.559,+0.195
