169,86.8,67.1,46.4,8.34,67.1,191,3.12,+0.088,+0.366,0.504,-0.600,1
198,74.4,66.5,47.4,8.46,66.5,190,3.10,+0.235,+0.082,0.496,-0.600,0
412,76.1,61.7,42.6,11.30,61.7,396,6.07,-0.608,+0.174,0.477,-0.600,0
58,101.8,101.9,50.5,10.37,101.9,2740,26.96,-0.119,+0.874,0.084,-0.600,0
61,74.6,67.3,45.1,10.79,67.3,190,3.10,-0.008,+0.177,0.518,-0.600,1
62,99.7,63.9,39.5,11.83,63.9,179,3.10,+0.014,+0.203,0.527,-0.600,1
63,73.8,65.9,44.9,12.88,65.9,450,6.78,+0.544,-0.053,0.388,-0.600,0
64,100.9,101.0,46.9,15.53,101.0,2551,27.22,-0.472,+0.772,0.327,-0.600,0
65,84.8,66.6,44.8,10.73,66.6,187,3.09,+0.123,+0.252,0.537,-0.600,1
66,102.7,103.2,47.9,11.01,103.2,2812,26.98,,,,-0.600,0
67,103.3,67.4,44.4,10.61,67.4,192,3.19,+0.231,+0.262,0.592,-0.600,1
68,65.2,62.0,42.7,12.02,62.0,413,6.50,+0.495,-0.169,0.539,-0.600,0
71,76.6,67.8,47.0,9.64,67.8,191,3.10,+0.320,+0.259,0.533,-0.600,1
73,104.4,67.6,45.6,11.34,67.6,193,3.13,-0.205,+0.323,0.533,-0.600,0
74,74.5,70.0,48.4,12.26,70.0,434,6.43,+0.379,-0.068,0.581,-0.600,0
75,75.4,67.0,45.6,10.92,67.0,188,3.08,-0.286,+0.291,0.535,-0.600,0
76,81.1,69.5,47.3,13.62,69.5,604,8.18,+0.519,+0.167,0.356,-0.600,0
78,69.5,66.8,46.6,11.85,66.8,459,6.74,+0.500,-0.118,0.471,-0.600,0
79,79.8,70.2,45.5,14.21,70.2,615,8.36,+0.499,+0.097,0.395,-0.600,0
80,77.9,69.3,47.2,12.56,69.3,472,6.78,+0.441,+0.058,0.594,-0.600,1
81,78.8,70.5,47.7,13.06,70.5,622,8.47,+0.551,+0.024,0.378,-0.600,0
83,77.5,68.4,44.8,13.18,68.4,467,6.73,+0.517,-0.002,0.434,-0.600,0
85,103.1,65.5,46.4,9.37,65.5,188,3.12,+0.151,+0.138,0.544,-0.600,0
86,104.3,104.4,47.5,14.31,104.4,2673,27.19,-0.418,+0.876,0.210,-0.600,0
87,103.5,63.5,42.9,9.19,63.5,179,3.11,-0.221,+0.271,0.590,-0.600,0
89,73.1,64.9,38.9,13.33,64.9,436,6.67,+0.501,-0.036,0.451,-0.600,0
91,73.4,62.1,42.9,9.48,62.1,176,3.09,+0.241,+0.353,0.504,-0.600,1
92,103.4,63.2,42.7,12.44,63.2,427,6.67,+0.464,-0.276,0.539,-0.600,0
94,67.9,63.1,42.7,11.77,63.1,420,6.64,+0.456,-0.186,0.545,-0.600,0
97,73.2,74.4,49.8,10.81,74.4,761,9.90,-0.041,+0.871,0.130,-0.600,0
100,106.1,68.1,45.4,14.36,68.1,443,6.51,+0.501,+0.025,0.570,-0.600,1
102,77.4,69.7,44.5,13.87,69.7,465,6.69,+0.514,-0.071,0.443,-0.600,0
103,103.8,63.9,40.3,9.23,63.9,181,3.11,-0.167,+0.373,0.513,-0.600,0
104,104.2,65.5,43.4,11.28,65.5,186,3.17,-0.049,+0.155,0.591,-0.600,1
105,68.1,66.7,43.5,12.46,66.7,456,6.83,+0.364,-0.155,0.547,-0.600,0
109,73.9,67.9,47.9,12.02,67.9,442,6.57,+0.415,-0.188,0.585,-0.600,0
