t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,desc_leg,descent_bias,descent_gain,v_up_auth,v_down_auth,gate_v_ok,v_committed,floor_on,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,gate_cmd_deg,committed,commit_k,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,tube_solid,u_tube_f,curv_f,rail_k,rail_auth,rail_cmd_deg,v_converge,rail_sep,fit_rms,rail_rows,rail_ylook,rail_merged,rail_ok,rail_v_f,rail_v_tgt,rail_v_trim,rail_v_auth,rail_v_live,loop_hz,det_hz,encap_hex,post_gate_hold_active,hold_bank_cmd,gate2_size_frac,ag2_auth,gate2_exit_k,leg2_arrest,commit_latched,commit_align_count,gate3_flare_on,gate3_flare_thr,gate3_flare_uncl,gate3_desc_on,gate3_desc_raw,du_f,rate_ok,align_ok,commit_stable_s,g3hold_armed,g3hold_on,g3hold_elapsed,g3_last_vf,g3_last_sz,g3_loss_t,g3_delta_app,race_fin
0.019687,0,0,0.282365,0.282365,0.2800,+0.00237,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01685,-0.01478,0.08370,177.34,+0.01685,+0.01685,+0.00000,-0.01478,0.08370,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.803,+0.00000,+0.00,+0.00000,1,+0.00147,+0.00448,0.02866,+0.013,0,1,+0.00147,+0.00448,1.0000,0.0000,+0.000,-0.22170,0.44246,1.712,83,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01850d000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08370,1.0000,1.0000,0.00000,0,0,0,0.285,0.003,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.039064,0,0,0.282341,0.282341,0.2800,+0.00234,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01817,-0.01434,0.08370,177.42,+0.01697,+0.01686,+0.00000,-0.01474,0.08370,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.803,+0.00000,+0.00,+0.00000,1,+0.00238,+0.00651,0.01826,+0.013,0,1,+0.00155,+0.00465,1.0000,0.0000,+0.000,-0.23441,0.44554,1.511,95,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01850d000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08370,1.0000,1.0000,0.00000,0,0,0,0.285,0.003,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.051978,0,0,0.282362,0.282362,0.2800,+0.00236,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01826,-0.01527,0.08425,177.25,+0.01705,+0.01687,+0.00000,-0.01477,0.08374,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.803,+0.00000,+0.00,+0.00000,1,+0.00135,+0.00726,0.01387,+0.013,0,1,+0.00154,+0.00481,1.0000,0.0000,+0.000,-0.25557,0.44705,1.345,94,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01850d000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08425,1.0000,1.0000,0.00000,0,0,0,0.285,0.003,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.066909,0,0,0.282384,0.282384,0.2800,+0.00238,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01826,-0.01527,0.08425,177.25,+0.01713,+0.01689,+0.00000,-0.01481,0.08377,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.727,+0.00599,+0.00,+0.00000,1,+0.00135,+0.00726,0.01387,+0.017,0,1,+0.00153,+0.00498,1.0000,0.0000,+0.000,-0.25557,0.44705,1.345,94,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01850d000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08425,1.0000,1.0000,0.00000,0,0,0,0.285,0.003,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.080836,0,0,0.282401,0.282401,0.2800,+0.00240,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01826,-0.01527,0.08425,177.25,+0.01720,+0.01691,+0.00000,-0.01484,0.08380,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.633,-0.00363,+0.00,+0.00000,1,+0.00135,+0.00726,0.01387,+0.013,0,1,+0.00151,+0.00513,1.0000,0.0000,+0.000,-0.25557,0.44705,1.345,94,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01850d000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08425,1.0000,1.0000,0.00000,0,0,0,0.285,0.003,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.094406,0,0,0.282306,0.282306,0.2800,+0.00231,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01620,-0.01250,0.08165,177.75,+0.01714,+0.01692,+0.00000,-0.01469,0.08367,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-17.457,-0.00061,+0.00,+0.00000,1,+0.00151,+0.00297,0.01123,+0.011,0,1,+0.00151,+0.00499,1.0000,0.0000,+0.000,-0.28595,0.44610,1.224,91,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01850d000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08165,1.0000,1.0000,0.00000,0,0,0,0.285,0.003,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.108877,0,0,0.282217,0.282217,0.2800,+0.00222,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01620,-0.01250,0.08165,177.75,+0.01708,+0.01693,+0.00000,-0.01454,0.08353,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-16.995,-0.00229,+0.00,+0.00000,1,+0.00151,+0.00297,0.01123,+0.009,0,1,+0.00151,+0.00486,1.0000,0.0000,+0.000,-0.28595,0.44610,1.224,91,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01850d000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.08165,1.0000,1.0000,0.00000,0,0,0,0.285,0.003,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.124287,0,0,0.281995,0.281995,0.2800,+0.00199,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01760,-0.00939,0.07993,178.31,+0.01711,+0.01695,+0.00000,-0.01417,0.08327,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-16.430,-0.00415,+0.00,+0.00000,1,+0.00163,+0.00294,0.00993,+0.010,0,1,+0.00152,+0.00472,1.0000,0.0000,+0.000,-0.36003,0.44314,0.356,80,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01850d000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.07993,1.0000,1.0000,0.00000,0,0,0,0.285,0.003,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.139510,0,0,0.281803,0.281803,0.2800,+0.00180,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01760,-0.00939,0.07993,178.31,+0.01715,+0.01696,+0.00000,-0.01384,0.08304,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-16.078,+0.00424,+0.00,+0.00000,1,+0.00163,+0.00294,0.00993,+0.010,0,1,+0.00153,+0.00459,1.0000,0.0000,+0.000,-0.36003,0.44314,0.356,80,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01850d000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.07993,1.0000,1.0000,0.00000,0,0,0,0.285,0.003,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
0.153779,0,0,0.281394,0.281394,0.2800,+0.00139,0,0,-0.0050,1.0000,0.0600,0.0450,1,0,0,1,+0.01850,-0.00338,0.07798,179.39,+0.01724,+0.01698,+0.00000,-0.01314,0.08270,1.0000,1,0,+0.000,0,1.0000,0,0,+0.000,+0.000,+0.000,+0.00000,-15.480,+0.00580,+0.00,+0.00000,1,+0.00189,+0.00367,0.00924,+0.011,0,1,+0.00155,+0.00453,1.0000,0.0000,+0.000,-0.36291,0.44559,0.394,77,135.0,0,1,+0.00000,+0.0000,+0.00000,0.0000,0,0.0,0.0,01850d000000000000e10c000000000000ffffffffffffffff00000000ffffffffffffffff00000000000000000000fbb55b9b00000018b50a39fd7f45240f0040204000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000088136d4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,+0.000,0.07798,1.0000,1.0000,0.00000,0,0,0,0.285,0.004,0,+0.000,+0.0000,1,0,0.000,0,0,0.000,+0.000,0.000,0.000,+0.0000,0
