timestamp,attempt,run,mode,hold_s,csv,class,verdict,median_rate,slow_pct,dirty_start,crossing_dips,gate1_u,max_active_gate,g3_size,g3_u_f,g3_v_err,commit_latched,commit_stable_s,descent_frames,descent_impulse,hold_armed,hold_frames,hold_duration_s,registered,flicker_blocked,gate3_registered,highest_active_gate,gates_completed,full_course_complete,finish_signal,first_failure_after_gate3,time_gate3_registered,final_segment,collision_after_gate3,timeout_after_gate3,failure_reason,exit_code
"2026-08-03T02:48:37","3","30","holdblind","0.3","filt_auto_030.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T02:57:22","1","31","holdblind","0.3","filt_auto_031.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T02:57:32","2","32","holdblind","0.3","filt_auto_032.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T02:57:41","3","33","holdblind","0.3","filt_auto_033.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T02:57:50","4","34","holdblind","0.3","filt_auto_034.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T02:57:58","5","35","holdblind","0.3","filt_auto_035.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:21:45","1","37","holdblind","0.3","filt_auto_037.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:21:50","2","38","holdblind","0.3","filt_auto_038.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:21:56","3","39","holdblind","0.3","filt_auto_039.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:22:02","4","40","holdblind","0.3","filt_auto_040.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:22:07","5","41","holdblind","0.3","filt_auto_041.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:22:12","6","42","holdblind","0.3","filt_auto_042.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:22:17","7","43","holdblind","0.3","filt_auto_043.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:22:23","8","44","holdblind","0.3","filt_auto_044.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:22:28","9","45","holdblind","0.3","filt_auto_045.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:22:34","10","46","holdblind","0.3","filt_auto_046.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:22:41","11","47","holdblind","0.3","filt_auto_047.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:22:47","12","48","holdblind","0.3","filt_auto_048.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:22:53","13","49","holdblind","0.3","filt_auto_049.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:22:59","14","50","holdblind","0.3","filt_auto_050.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:23:04","15","51","holdblind","0.3","filt_auto_051.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:25:50","1","53","holdblind","0.3","filt_auto_053.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:25:55","2","54","holdblind","0.3","filt_auto_054.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:26:01","3","55","holdblind","0.3","filt_auto_055.csv","BROKEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"2026-08-03T03:27:27","1","57","holdblind","0.3","filt_auto_057.csv","DISCARD_RATE","DISCARD","96.2","3.0","0","","0.0149","1","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","1","1","0","","","","5","0","0","COLLISION GATE t=4.6s","0"
"2026-08-03T03:30:43","1","57","holdblind","0.3","filt_auto_057.csv","DISCARD_RATE","DISCARD","0.0","100.0","0","","","0","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","0","0","0","","","","5","0","0","COLLISION GATE t=7.7s","0"
"2026-08-03T03:31:27","2","58","holdblind","0.3","filt_auto_058.csv","DISCARD_RATE","DISCARD","101.8","3.8","0","g1:48Hz","0.1129","2","0.0839","-0.1188","0.874","0","15.546","0","0.0","0","0","0.0","0","0","0","2","2","0","","","","5","0","0","COLLISION GATE t=7.8s","0"
"2026-08-03T03:32:10","3","59","holdblind","0.3","filt_auto_059.csv","DISCARD_RATE","DISCARD","104.2","6.6","0","g1:45Hz","0.119","1","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","1","1","0","","","","5","0","0","COLLISION GATE t=7.8s","0"
"2026-08-03T03:32:54","4","60","holdblind","0.3","filt_auto_060.csv","KEEP_UPSTREAM","OK","84.4","7.9","0","","0.0121","1","","","","0","0.0","0","0.0","0","0","0.0","0","0","0","1","1","0","","","","5","0","0","COLLISION GATE t=7.8s","0"
"2026-08-03T03:33:37","5","61","holdblind","0.3","filt_auto_061.csv","DISCARD_RATE","DISCARD","74.6","14.9","0","g1:48Hz|g2:47Hz","0.0477","2","0.5177","-0.008","0.1771","1","1.22","22","0.00347","1","20","0.3","0","0","0","2","2","0","","","","5","0","0","COLLISION ENV/ground t=14.9s","0"
